 5, 4, 00000.99000, 00000.06720, 00000.27780, 00000.07920, 00004.96100, 296
 5, 5, 00001.65380, 00000.11560, 00000.55440, 00000.13860, 00008.27600, 296
 5, 6, 00001.75200, 00000.13740, 00000.57740, 00000.15560, 00008.77100, 296
 5, 7, 00001.77080, 00000.13560, 00000.56960, 00000.14700, 00008.87400, 296
 5, 8, 00001.38500, 00000.10400, 00000.49880, 00000.10640, 00006.93100, 296
 5, 9, 00000.70320, 00000.05420, 00000.22840, 00000.05900, 00003.52400, 296
 5, 10, 00001.49640, 00000.11240, 00000.49680, 00000.13500, 00007.49300, 296
 5, 11, 00000.73520, 00000.05520, 00000.23540, 00000.06640, 00003.68300, 296
 5, 12, 00000.82060, 00000.05940, 00000.25300, 00000.06380, 00004.11200, 296
 5, 13, 00001.80500, 00000.13500, 00000.57700, 00000.15180, 00009.14000, 296
 5, 14, 00000.70320, 00000.05460, 00000.22780, 00000.05900, 00003.52200, 296
 5, 15, 00001.23000, 00000.10380, 00000.36880, 00000.10360, 00006.15900, 296
 6, 1, 00000.99683, 00000.07833, 00000.32117, 00000.08217, 00005.99000, 296
 6, 2, 00001.24133, 00000.09850, 00000.39983, 00000.09517, 00007.45600, 296
 6, 3, 00001.50417, 00000.12017, 00000.51633, 00000.12250, 00009.03200, 296
 6, 4, 00001.71033, 00000.13467, 00000.56933, 00000.14617, 00010.27100, 296
 6, 5, 00000.86633, 00000.06917, 00000.28083, 00000.07050, 00005.20700, 296
 6, 6, 00001.75200, 00000.13500, 00000.58183, 00000.14567, 00010.53000, 296
 6, 7, 00001.30067, 00000.10500, 00000.39933, 00000.10667, 00007.81700, 296
 6, 8, 00000.81933, 00000.06367, 00000.26650, 00000.06700, 00004.92400, 296
 6, 9, 00001.43650, 00000.10800, 00000.46667, 00000.11917, 00008.62500, 296
 6, 10, 00000.70050, 00000.05433, 00000.22583, 00000.05717, 00004.21000, 296
 6, 11, 00000.80300, 00000.06700, 00000.26267, 00000.06500, 00004.82900, 296
 6, 12, 00000.69250, 00000.05383, 00000.22517, 00000.05750, 00004.16200, 296
 6, 13, 00000.73400, 00000.05667, 00000.23733, 00000.06000, 00004.41100, 296
 6, 14, 00000.86600, 00000.06700, 00000.28233, 00000.07283, 00005.20400, 296
 6, 15, 00000.69550, 00000.05383, 00000.22617, 00000.05700, 00004.17900, 296
 7, 1, 00000.67386, 00000.05443, 00000.22214, 00000.05571, 00004.72300, 296
 7, 2, 00001.68714, 00000.13286, 00000.55271, 00000.13743, 00011.82800, 296
 7, 3, 00000.67443, 00000.05329, 00000.22157, 00000.05386, 00004.73000, 296
 7, 4, 00000.84500, 00000.06643, 00000.27986, 00000.06871, 00005.92400, 296
 7, 5, 00000.67257, 00000.05286, 00000.22329, 00000.05357, 00004.71400, 296
 7, 6, 00001.69043, 00000.13271, 00000.57486, 00000.13729, 00011.84900, 296
 7, 7, 00000.67514, 00000.05329, 00000.22814, 00000.05400, 00004.73100, 296
 7, 8, 00000.67471, 00000.05300, 00000.22386, 00000.05600, 00004.73200, 296
 7, 9, 00000.80657, 00000.06443, 00000.27086, 00000.06414, 00005.65100, 296
 7, 10, 00000.74929, 00000.05900, 00000.24643, 00000.06114, 00005.25100, 296
 7, 11, 00000.67600, 00000.05357, 00000.22629, 00000.05657, 00004.73900, 296
 7, 12, 00000.67243, 00000.05471, 00000.22200, 00000.05486, 00004.71300, 296
 7, 13, 00001.35143, 00000.11129, 00000.45714, 00000.11357, 00009.46900, 296
 7, 14, 00001.61843, 00000.12300, 00000.50986, 00000.12900, 00011.34900, 296
 7, 15, 00001.58986, 00000.11957, 00000.52457, 00000.13000, 00011.13800, 296
 8, 1, 00001.09825, 00000.08900, 00000.36675, 00000.08725, 00008.79800, 296
 8, 2, 00001.28312, 00000.11488, 00000.43025, 00000.09862, 00010.27600, 296
